iter	Logloss
0	0.6856292184
1	0.6796016058
2	0.6747735087
3	0.6713842678
4	0.667449617
5	0.6636940302
6	0.6604010127
7	0.6574794428
8	0.6545703683
9	0.6520136794
10	0.6499785153
11	0.6481601456
12	0.6468535657
13	0.645225612
14	0.643738848
15	0.64239496
16	0.6406158776
17	0.6395574082
18	0.6382551601
19	0.6368921125
20	0.6359412962
21	0.6347414676
22	0.6333827517
23	0.632390126
24	0.6314532903
25	0.630469581
26	0.6295617031
27	0.6287890229
28	0.6278947895
29	0.6271535461
30	0.6259776512
31	0.6252247196
32	0.6242184122
33	0.6233766969
34	0.6223145162
35	0.6213107423
36	0.620545861
37	0.6196940805
38	0.6188265355
39	0.6183434305
40	0.6174303994
41	0.6166807452
42	0.6157065295
43	0.6149688682
44	0.6140817585
45	0.6130932923
46	0.6124078475
47	0.6115719002
48	0.6109999369
49	0.6102289888
50	0.6095562491
51	0.6089597631
52	0.608115049
53	0.6080798291
54	0.607291238
55	0.6065786652
56	0.6060936758
57	0.6051393523
58	0.6044703239
59	0.6036349281
60	0.6032379841
61	0.6025720236
62	0.601702261
63	0.6010038784
64	0.6006333271
65	0.599946222
66	0.5990378184
67	0.5983902735
68	0.5977311782
69	0.5970355417
70	0.5963050961
71	0.5956121971
72	0.595004629
73	0.5942477046
74	0.5935717764
75	0.592985235
76	0.5925699041
77	0.5919698246
78	0.5911418572
79	0.590215262
80	0.5896729286
81	0.5887823404
82	0.5882833246
83	0.5877518034
84	0.5870397102
85	0.5864105207
86	0.5856605592
87	0.5853689934
88	0.5844673747
89	0.5836352019
90	0.5830276941
91	0.5822724041
92	0.5816157505
93	0.5805512172
94	0.580072309
95	0.5792962852
96	0.5785181501
97	0.5778255613
98	0.5770450622
99	0.5766800491
100	0.5759240151
101	0.575271472
102	0.5746261074
103	0.5741071764
104	0.5732910351
105	0.5724219964
106	0.5719435248
107	0.5714171195
108	0.570634285
109	0.5699415584
110	0.5696338864
111	0.5687398253
112	0.5682252892
113	0.5672171951
114	0.5666124765
115	0.5657877435
116	0.565071514
117	0.5645671495
118	0.5642211381
119	0.5636756019
120	0.5630777026
121	0.5625244077
122	0.5616695938
123	0.5611073999
124	0.5604822635
125	0.5597514329
126	0.5591286893
127	0.5586400203
128	0.5580178023
129	0.5577268139
130	0.5569568396
131	0.5563180243
132	0.5556634963
133	0.5550094681
134	0.5542470773
135	0.553541861
136	0.5526054131
137	0.5518208378
138	0.5514057798
139	0.5506848623
140	0.5499660475
141	0.5491756238
142	0.5487612178
143	0.5483213068
144	0.5478504961
145	0.5471606592
146	0.546595093
147	0.5457584218
148	0.5449999807
149	0.5444533501
150	0.5437372268
151	0.5428384892
152	0.5423869876
153	0.5416724328
154	0.540992371
155	0.5406066672
156	0.5400744451
157	0.5392430105
158	0.538474326
159	0.5379507329
160	0.5371923119
161	0.5365821844
162	0.5357714204
163	0.5352616614
164	0.5347009008
165	0.5340466371
166	0.5333133736
167	0.5326076431
168	0.5319125638
169	0.5315105815
170	0.5308107798
171	0.5300546654
172	0.5292912721
173	0.5286822706
174	0.5279356067
175	0.5273358174
176	0.5264859212
177	0.5256802502
178	0.52492492
179	0.524421963
180	0.5237117054
181	0.5233186192
182	0.5225037045
183	0.5218491019
184	0.5214815466
185	0.5211029781
186	0.5203518819
187	0.5198241065
188	0.5192822643
189	0.5185347703
190	0.5178140424
191	0.517275271
192	0.5167378755
193	0.5160362527
194	0.5154220088
195	0.5150252142
196	0.5143272136
197	0.5135065137
198	0.5130493934
199	0.5124436896
200	0.5116825195
201	0.5108788018
202	0.5103613617
203	0.5096711973
204	0.5091620271
205	0.5085556568
206	0.5077299271
207	0.5070254662
208	0.5063926114
209	0.5058673723
210	0.5054721864
211	0.5047055959
212	0.5040800114
213	0.5034360973
214	0.5028745756
215	0.5021674921
216	0.5017548843
217	0.5013151313
218	0.5008661575
219	0.5002937719
220	0.4998778062
221	0.4990544146
222	0.4985747222
223	0.4979200104
224	0.4973850737
225	0.4967168065
226	0.4962009635
227	0.4956823341
228	0.4952260842
229	0.4946200529
230	0.4938919197
231	0.4935441761
232	0.4929877186
233	0.4922575803
234	0.4917695289
235	0.4914495481
236	0.4910079107
237	0.4903552126
238	0.489702388
239	0.489321938
240	0.4889112174
241	0.4884599428
242	0.4879014056
243	0.48741232
